0.00 44.80 32.20 31.46 34.14 34.42 33.29 31.25 32.98 38.33
1.00 44.80 32.20 31.46 34.14 34.42 33.29 31.25 32.98 38.33
2.00 44.80 32.20 31.46 34.14 34.42 33.29 31.25 32.98 38.33
3.00 44.80 32.20 31.46 34.14 34.42 33.29 31.25 32.98 38.33
4.00 44.80 32.20 31.46 34.14 34.42 33.29 31.25 32.98 38.33
5.00 44.59 32.05 31.63 34.10 34.47 33.65 31.68 33.04 38.83
6.00 44.59 32.05 31.63 34.10 34.47 33.65 31.68 33.04 38.83
7.00 44.59 32.05 31.63 34.10 34.47 33.65 31.68 33.04 38.83
8.00 44.59 32.05 31.63 34.10 34.47 33.65 31.68 33.04 38.83
9.00 44.59 32.05 31.63 34.10 34.47 33.65 31.68 33.04 38.83
10.00 44.47 31.61 31.62 34.51 34.34 33.67 33.18 33.38 39.62
11.00 44.47 31.61 31.62 34.51 34.34 33.67 33.18 33.38 39.62
12.00 44.47 31.61 31.62 34.51 34.34 33.67 33.18 33.38 39.62
13.00 44.47 31.61 31.62 34.51 34.34 33.67 33.18 33.38 39.62
14.00 44.47 31.61 31.62 34.51 34.34 33.67 33.18 33.38 39.62
15.00 44.70 31.01 31.35 34.74 34.19 34.29 35.04 32.73 40.56
16.00 44.70 31.01 31.35 34.74 34.19 34.29 35.04 32.73 40.56
17.00 44.70 31.01 31.35 34.74 34.19 34.29 35.04 32.73 40.56
18.00 44.70 31.01 31.35 34.74 34.19 34.29 35.04 32.73 40.56
19.00 44.70 31.01 31.35 34.74 34.19 34.29 35.04 32.73 40.56
20.00 44.96 32.82 32.32 35.33 34.83 34.71 35.87 33.11 41.10
21.00 44.96 32.82 32.32 35.33 34.83 34.71 35.87 33.11 41.10
22.00 44.96 32.82 32.32 35.33 34.83 34.71 35.87 33.11 41.10
23.00 44.96 32.82 32.32 35.33 34.83 34.71 35.87 33.11 41.10
24.00 44.96 32.82 32.32 35.33 34.83 34.71 35.87 33.11 41.10
25.00 47.06 34.78 34.63 36.01 35.72 35.69 37.29 34.38 41.48
26.00 47.06 34.78 34.63 36.01 35.72 35.69 37.29 34.38 41.48
27.00 47.06 34.78 34.63 36.01 35.72 35.69 37.29 34.38 41.48
28.00 47.06 34.78 34.63 36.01 35.72 35.69 37.29 34.38 41.48
29.00 47.06 34.78 34.63 36.01 35.72 35.69 37.29 34.38 41.48
30.00 49.26 36.97 37.62 36.94 36.96 36.04 39.08 35.47 42.54
31.00 49.26 36.97 37.62 36.94 36.96 36.04 39.08 35.47 42.54
32.00 49.26 36.97 37.62 36.94 36.96 36.04 39.08 35.47 42.54
33.00 49.26 36.97 37.62 36.94 36.96 36.04 39.08 35.47 42.54
34.00 49.26 36.97 37.62 36.94 36.96 36.04 39.08 35.47 42.54
35.00 51.97 38.26 39.95 37.53 38.49 36.57 40.26 36.51 43.16
36.00 51.97 38.26 39.95 37.53 38.49 36.57 40.26 36.51 43.16
37.00 51.97 38.26 39.95 37.53 38.49 36.57 40.26 36.51 43.16
38.00 51.97 38.26 39.95 37.53 38.49 36.57 40.26 36.51 43.16
39.00 51.97 38.26 39.95 37.53 38.49 36.57 40.26 36.51 43.16
40.00 53.19 38.79 42.10 39.03 40.59 37.10 41.78 36.89 43.59
41.00 53.19 38.79 42.10 39.03 40.59 37.10 41.78 36.89 43.59
42.00 53.19 38.79 42.10 39.03 40.59 37.10 41.78 36.89 43.59
43.00 53.19 38.79 42.10 39.03 40.59 37.10 41.78 36.89 43.59
44.00 53.19 38.79 42.10 39.03 40.59 37.10 41.78 36.89 43.59
45.00 54.88 39.73 43.59 39.60 42.54 37.68 44.37 38.47 44.45
46.00 54.88 39.73 43.59 39.60 42.54 37.68 44.37 38.47 44.45
47.00 54.88 39.73 43.59 39.60 42.54 37.68 44.37 38.47 44.45
48.00 54.88 39.73 43.59 39.60 42.54 37.68 44.37 38.47 44.45
49.00 54.88 39.73 43.59 39.60 42.54 37.68 44.37 38.47 44.45
